epoch,phase,lr,batch_size,micro_batch_size,train_loss,val_loss,val_rmsae_deg,epoch_time_s
1,1,0.0001,1,1,0.08967735033291273,0.0368826596532017,12.048565477132797,1752.5543519400526
2,1,0.0001,1,1,0.03566046280101833,0.03248294466175139,11.478443086147308,1741.0580516960472
3,1,0.0001,1,1,0.027744772831280518,0.03385355943464674,10.33834022283554,1748.880188064184
4,1,0.0001,1,1,0.023719556882786444,0.02040378635865636,7.873994126915932,1758.4002785058692
5,1,0.0001,1,1,0.023015278450444213,0.019739124458283186,7.617769405245781,1759.3742348779924
6,1,0.0001,1,1,0.02121098076717721,0.028569680434884503,8.792016297578812,1722.4126932490617
7,1,0.0001,1,1,0.02326325538735359,0.02096981887007132,8.293855369091034,1729.118781363126
8,1,0.0001,1,1,0.020957801453610005,0.01911396734067239,6.873275101184845,1755.1732291590888
9,1,0.0001,1,1,0.020083912514532225,0.018854202615329996,7.243311993777752,1755.5602227800991
10,1,0.0001,1,1,0.020766292606345098,0.018538390315370634,6.922587916254997,1747.6019923870917
11,1,0.0001,1,1,0.019439554075177154,0.018235262628877535,6.886633716523647,1756.9156416060869
12,1,0.0001,1,1,0.019717381929612567,0.018533960450440645,6.898201361298561,1749.3139611710794
13,1,0.0001,1,1,0.019346237152369102,0.01895326896919869,7.049515530467033,1735.8433717840817
14,1,0.0001,1,1,0.01880224146362808,0.018037084984825924,6.5646717101335526,1720.5817670559045
15,1,0.0001,1,1,0.018247796158887383,0.017982210672926158,6.735330350697041,1745.504416770069
16,1,0.0001,1,1,0.018375947078865053,0.017798735905671492,6.508611209690571,1744.41830579401
17,1,0.0001,1,1,0.018922030264272905,0.017456147441407666,6.200420588254929,1768.2298935551662
18,1,0.0001,1,1,0.01801434470834131,0.0185647675243672,7.133084803819656,1723.9907444890123
19,1,0.0001,1,1,0.017358807135277834,0.01787381333997473,6.976312041282654,1733.1818278960418
20,1,0.0001,1,1,0.01766517792119939,0.017518152890261263,6.258598364889622,1722.705754077062
21,2,1e-05,10,1,0.019811934609220833,0.017271833639824763,6.030924662947655,1716.812311991118
22,2,1e-05,10,1,0.018870724110394463,0.017269578471314162,6.009626314043999,1736.013346788939
23,2,1e-05,10,1,0.019269327127621468,0.017231127189006656,5.966494709253311,1746.511317847995
24,2,1e-05,10,1,0.019070016108771674,0.01717942886170931,5.947544015944004,1741.4407531409524
25,2,1e-05,10,1,0.018645684516582734,0.017155164416180924,5.949078164994717,1706.8259102189913
26,2,1e-05,10,1,0.018549649208051782,0.017149518185760826,5.951347179710865,1713.8878929831553
27,2,1e-05,10,1,0.018503633564194807,0.01713960853521712,5.924775339663029,1690.394741198048
28,2,1e-05,10,1,0.01868874627746578,0.01712308602873236,5.918493553996086,1724.472613578895
29,2,1e-05,10,1,0.01891492067111863,0.01708208001218736,5.919478751718998,1760.9076857850887
30,2,1e-05,10,1,0.01957376087323213,0.01707141555380076,5.915180616080761,1747.054593394976
31,2,1e-05,10,1,0.01868838886451772,0.01705945562571287,5.924058176577091,1718.851756663993
32,2,1e-05,10,1,0.018268503100635148,0.01703238204936497,5.895789846777916,1711.5903584482148
33,2,1e-05,10,1,0.018982213948909032,0.017044233303749934,5.893774032592773,1714.991256244015
34,2,1e-05,10,1,0.018818312131154997,0.01700198370963335,5.875660635530949,1740.2032361698803
35,2,1e-05,10,1,0.018387494521995642,0.01701120857615024,5.880302496254444,1736.391627277946
