epoch,phase,lr,batch_size,micro_batch_size,train_loss,val_loss,val_rmsae_deg,epoch_time_s
1,1,0.0001,1,1,0.16140432073137698,0.051146193174645305,15.598953306674957,984.3093862771057
2,1,0.0001,1,1,0.04609985125816276,0.03910924959927797,13.293812960386276,979.2330196700059
3,1,0.0001,1,1,0.04104305851535919,0.032740263210143894,11.504843160510063,978.9558310849825
4,1,0.0001,1,1,0.03308320462417144,0.030805613263510168,10.994017586112022,986.8496616249904
5,1,0.0001,1,1,0.031171878360402888,0.028096292779082432,9.962090820074081,985.822520422982
6,1,0.0001,1,1,0.02952957802698908,0.028414686006726697,10.720026597380638,972.4264577120775
7,1,0.0001,1,1,0.028073772157614047,0.027463088888907805,10.68644343316555,974.2796529029729
8,1,0.0001,1,1,0.02776936719623896,0.027216482238145545,9.567084401845932,986.8834383849753
9,1,0.0001,1,1,0.0274868838982577,0.02583440695889294,9.663542285561562,987.835381004028
10,1,0.0001,1,1,0.02721519647245733,0.026188093150267377,9.03807419538498,982.2542361010564
11,1,0.0001,1,1,0.026579629255729355,0.024715710780583322,8.67564694583416,982.1243854489876
12,1,0.0001,1,1,0.02696362655991927,0.024601490469649434,8.36345548927784,984.1503740379121
13,1,0.0001,1,1,0.02620249003267441,0.02551218288135715,8.930973917245865,980.1848945999518
14,1,0.0001,1,1,0.02543787934904934,0.02413162964512594,8.170309945940971,975.2303248370299
15,1,0.0001,1,1,0.025237389190647847,0.02380487375194207,8.249665006995201,983.8246501499088
16,1,0.0001,1,1,0.024808127167196863,0.023933975375257432,7.507515966892242,982.5535868399311
17,1,0.0001,1,1,0.025286144155085597,0.023544825584394857,7.7453818172216415,994.4866759360302
18,1,0.0001,1,1,0.024919116977825125,0.02360119397053495,7.770006403326988,974.942511221976
19,1,0.0001,1,1,0.02406381851173619,0.024091297877021134,8.126401096582413,979.8897533820709
20,1,0.0001,1,1,0.024478281582267874,0.02320345028419979,7.514187783002853,976.6917290630518
21,2,1e-05,10,1,0.02606955754260222,0.02311175048816949,7.374101862311363,970.8441751039354
22,2,1e-05,10,1,0.02521162462922243,0.02307932116673328,7.338174104690552,980.5163474200526
23,2,1e-05,10,1,0.025986238573797237,0.02305239741690457,7.265591576695442,986.5097257900052
24,2,1e-05,10,1,0.025483106657798984,0.023043757770210505,7.210933357477188,981.4290763220051
25,2,1e-05,10,1,0.02496147697361616,0.02304603296215646,7.24564103782177,964.2516034919536
26,2,1e-05,10,1,0.024950619287088385,0.0230462693143636,7.280855506658554,967.1478288409999
27,2,1e-05,10,1,0.024783831000582783,0.02305894554592669,7.312012031674385,961.4961206009611
28,2,1e-05,10,1,0.02541970305590548,0.023046984686516225,7.212633371353149,976.7578325779177
29,2,1e-05,10,1,0.0258105558096471,0.023039443389279768,7.239604577422142,989.5349068579962
30,2,1e-05,10,1,0.025982646795355866,0.0230401991866529,7.3152488470077515,981.6718865419971
31,2,1e-05,10,1,0.02528228760880028,0.023016278457362205,7.196979776024818,968.2419687480433
32,2,1e-05,10,1,0.02487110475030465,0.023019170301267877,7.283458933234215,969.3408655340318
33,2,1e-05,10,1,0.025291170813461654,0.023042670538416132,7.303960740566254,967.0482197349193
34,2,1e-05,10,1,0.02541610294332107,0.023000856657745317,7.2292520850896835,977.6004093789961
35,2,1e-05,10,1,0.025234250483922978,0.022985498537309468,7.1696226596832275,978.5665108819958
36,2,1e-05,10,1,0.025227403158369736,0.022993317601503804,7.212816774845123,955.0264661220135
37,2,1e-05,10,1,0.025477239260306726,0.023008111456874758,7.330756217241287,954.2842534009833
38,2,1e-05,10,1,0.02529555784745349,0.02296880431822501,7.2423896342515945,955.6785569710191
39,2,1e-05,10,1,0.02508774445925513,0.022965290234424174,7.249520048499107,962.5280174409272
40,2,1e-05,10,1,0.025058038655318256,0.022957828041398898,7.170861065387726,961.4349928320153
41,2,1e-05,10,1,0.02486089629272365,0.022945314383832738,7.286073625087738,948.3390939569799
42,2,1e-05,10,1,0.024999309800819963,0.022932031541131437,7.226905539631844,951.5810061929515
43,2,1e-05,10,1,0.025190410078463392,0.022937339235795662,7.207597136497498,964.8130780999782
44,2,1e-05,10,1,0.02511632949527767,0.022912969259778038,7.186838209629059,971.5358354850905
45,2,1e-05,10,1,0.025733261458321006,0.02291902809520252,7.153691366314888,961.8650643520523
46,2,1e-05,10,1,0.02541468980220648,0.022920667368452996,7.202358573675156,962.3260699000675
47,2,1e-05,10,1,0.024910512671638758,0.022864188242238015,7.200262889266014,961.48540421098
48,2,1e-05,10,1,0.025268011415998142,0.022850518173072487,7.087915673851967,957.3752594970865
49,2,1e-05,10,1,0.0247752729532683,0.022917815920663998,7.343018755316734,949.9973863100167
50,2,1e-05,10,1,0.02477134172924054,0.022883914469275624,7.140419647097588,957.7397824849468
51,2,1e-05,10,1,0.024786375720913592,0.02284590809722431,7.179090663790703,959.0050308110658
52,2,1e-05,10,1,0.025641704162853395,0.022877802985021845,7.259152591228485,971.1368538709357
53,2,1e-05,10,1,0.02513411118147465,0.022885149024659768,7.16351580619812,952.55091316998
54,2,1e-05,10,1,0.02460400825764379,0.02282946286140941,7.112673923373222,960.1204739729874
55,2,1e-05,10,1,0.024911268420008004,0.022834730450995266,7.154441252350807,955.5754811760271
56,2,1e-05,10,1,0.025459306214291315,0.022801930288551375,7.072097301483154,949.3162205229746
57,2,1e-05,10,1,0.024594978728673906,0.022844430059194565,7.17411507666111,958.5340105019277
58,2,1e-05,10,1,0.02528992406068704,0.02284386704559438,7.1218006163835526,964.7065793119837
59,2,1e-05,10,1,0.025089695944617955,0.022839878947706893,7.040905013680458,959.2068890370429
60,2,1e-05,10,1,0.024603522134323916,0.022848563181469217,7.164893910288811,943.0895909259561
61,2,1e-05,10,1,0.02464524533949856,0.02285419579129666,7.162546724081039,947.4901956650428
62,2,1e-05,10,1,0.024433247721157014,0.02286038824240677,7.186871722340584,939.8279253529618
63,2,1e-05,10,1,0.025103381218818516,0.022884839127073064,7.124070331454277,954.7121273840312
64,2,1e-05,10,1,0.02559373003995826,0.022843156941235065,7.120464250445366,966.3295177589171
65,2,1e-05,10,1,0.025567317274836902,0.022930466220714152,7.352886691689491,958.2249418369029
66,2,1e-05,10,1,0.024951435206855974,0.022878911171574146,7.06570602953434,945.4826658889651
67,2,1e-05,10,1,0.024525288411248954,0.02285804320126772,7.211867451667786,948.9315851778956
68,2,1e-05,10,1,0.025020088292021528,0.022903382894583046,7.296070575714111,945.3068914730102
69,2,1e-05,10,1,0.025073336911761862,0.02287695652921684,7.12497866153717,955.6354069289519
70,2,1e-05,10,1,0.02505973111360501,0.022842792619485408,7.07489475607872,954.6038961570011
71,2,1e-05,10,1,0.02506322777455943,0.022839370387373492,7.15907496213913,953.1077429489233
72,2,1e-05,10,1,0.02491333878511547,0.022801906568929553,7.08765272796154,944.0959980479674
73,2,1e-05,10,1,0.024612151828204466,0.02281183746526949,7.109479114413261,950.8106706860708
74,2,1e-05,10,1,0.024516400271373938,0.022772994852857664,7.1460737735033035,964.4263046920532
75,2,1e-05,10,1,0.025038474260105026,0.02276402758434415,7.06123585999012,971.432851325022
76,2,1e-05,10,1,0.02446755662592303,0.022794723539846018,7.198911175131798,942.0998832010664
77,2,1e-05,10,1,0.024808324300325833,0.022843834769446403,7.241602897644043,959.1575805189786
78,2,1e-05,10,1,0.025194176908932688,0.022786562010878697,7.130243316292763,948.7187086839695
79,2,1e-05,10,1,0.025023755294262852,0.022762923850677907,7.161282896995544,956.040230329032
80,2,1e-05,10,1,0.024599856125493334,0.022784793050959706,7.132757842540741,950.4660270140739
